,id,name,pos,evenTimeOnIce,evenPoints
199,8477015.0,Connor Brown,R,1124:38,37.0
200,8477149.0,Scott Sabourin,R,245:25,6.0
201,8477407.0,Anthony Duclair,L,841:50,30.0
202,8477426.0,Nick Paul,L,755:25,19.0
203,8477963.0,Jayce Hawryluk,R,284:13,10.0
204,8477971.0,Andreas Englund,D,234:55,3.0
205,8478400.0,Colin White,C,824:05,19.0
206,8478469.0,Thomas Chabot,D,1597:41,28.0
207,8478846.0,Christian Wolanin,D,49:10,0.0
208,8478870.0,Rudolfs Balcers,L,156:45,3.0
209,8479458.0,Nikita Zaitsev,D,1103:07,12.0
210,8480801.0,Brady Tkachuk,L,1133:12,36.0
211,8469455.0,Jason Spezza,C,557:06,18.0
212,8474162.0,Jake Muzzin,D,996:40,22.0
213,8475160.0,Kyle Clifford,L,756:47,17.0
214,8475166.0,John Tavares,C,1040:53,39.0
215,8475197.0,Tyson Barrie,D,1342:16,27.0
216,8475716.0,Martin Marincin,D,351:18,4.0
217,8475718.0,Justin Holl,D,1121:16,18.0
218,8475786.0,Zach Hyman,L,822:33,30.0
219,8476853.0,Morgan Rielly,D,934:13,20.0
220,8476879.0,Cody Ceci,D,987:07,8.0
221,8477021.0,Alexander Kerfoot,C,860:52,25.0
222,8477341.0,Andreas Johnsson,L,581:07,16.0
223,8477464.0,Nic Petan,C,164:56,3.0
224,8477512.0,Frederik Gauthier,C,513:20,12.0
225,8477939.0,William Nylander,R,1041:07,42.0
226,8477953.0,Kasperi Kapanen,R,888:55,31.0
227,8478115.0,Pierre Engvall,L,510:11,13.0
228,8478408.0,Travis Dermott,D,902:11,11.0
229,8478483.0,Mitchell Marner,R,951:51,42.0
230,8478843.0,Denis Malgin,C,479:29,10.0
231,8479318.0,Auston Matthews,C,1241:39,55.0
232,8480157.0,Calle Rosen,D,155:25,3.0
233,8480873.0,Rasmus Sandin,D,372:37,6.0
234,8481624.0,Ilya Mikheyev,R,529:22,22.0
235,8477488.0,Brett Pesce,D,1118:07,16.0
236,8468508.0,Justin Williams,R,221:44,8.0
237,8473533.0,Jordan Staal,C,952:10,24.0
238,8474581.0,Jake Gardiner,D,1008:13,13.0
239,8475222.0,Sami Vatanen,D,786:50,12.0
240,8475799.0,Nino Niederreiter,R,865:03,18.0
241,8476288.0,Ryan Dzingel,C,763:12,20.0
242,8476389.0,Vincent Trocheck,C,882:29,30.0
243,8476441.0,Joel Edmundson,D,1062:28,20.0
244,8476462.0,Dougie Hamilton,D,836:20,27.0
245,8476869.0,Brady Skjei,D,1207:23,22.0
246,8476882.0,Teuvo Teravainen,L,980:03,38.0
247,8476921.0,Jordan Martinook,L,448:12,11.0
248,8476934.0,Brock McGinn,L,730:02,15.0
249,8476958.0,Jaccob Slavin,D,1318:28,32.0
250,8477845.0,Trevor van Riemsdyk,D,666:32,8.0
251,8477938.0,Haydn Fleury,D,579:35,13.0
252,8477998.0,Warren Foegele,L,854:32,27.0
253,8478056.0,Clark Bishop,C,37:14,1.0
254,8478427.0,Sebastian Aho,C,1004:24,44.0
255,8479987.0,Morgan Geekie,C,18:40,4.0
256,8480039.0,Martin Necas,C,789:30,27.0
257,8480830.0,Andrei Svechnikov,R,936:00,41.0
258,8480185.0,Eetu Luostarinen,C,79:43,1.0
259,8470619.0,Brian Boyle,C,427:58,14.0
260,8471735.0,Keith Yandle,D,1099:31,24.0
261,8471873.0,Anton Stralman,D,1275:40,18.0
262,8474098.0,Colton Sceviour,C,740:03,16.0
263,8474149.0,Evgenii Dadonov,R,948:59,30.0
264,8474884.0,Mike Hoffman,L,907:47,38.0
265,8475287.0,Erik Haula,L,612:35,16.0
266,8475792.0,Brett Connolly,R,909:23,27.0
267,8475796.0,Mark Pysyk,D,703:35,18.0
268,8476456.0,Jonathan Huberdeau,L,1047:09,49.0
269,8476875.0,Mike Matheson,D,980:02,18.0
270,8476952.0,Dominic Toninato,C,487:41,11.0
271,8477346.0,MacKenzie Weegar,D,815:15,18.0
272,8477384.0,Josh Brown,D,727:22,8.0
273,8477493.0,Aleksander Barkov,C,1023:46,41.0
274,8477932.0,Aaron Ekblad,D,1306:29,34.0
275,8478027.0,Lucas Wallmark,C,713:06,18.0
276,8478211.0,Dryden Hunt,L,218:45,4.0
277,8478366.0,Frank Vatrano,C,849:07,30.0
278,8478569.0,Noel Acciari,C,880:50,26.0
279,8478839.0,Aleksi Saarela,C,107:25,3.0
280,8479388.0,Riley Stillman,D,567:50,5.0
281,8470601.0,Braydon Coburn,D,526:04,4.0
282,8473986.0,Alex Killorn,L,891:58,36.0
283,8474031.0,Kevin Shattenkirk,D,1205:10,27.0
284,8474034.0,Pat Maroon,L,695:46,20.0
285,8474151.0,Ryan McDonagh,D,866:11,11.0
286,8474564.0,Steven Stamkos,C,833:21,47.0
287,8474567.0,Zach Bogosian,D,389:27,6.0
288,8474568.0,Luke Schenn,D,269:59,3.0
289,8474870.0,Tyler Johnson,C,811:27,24.0
290,8475167.0,Victor Hedman,D,1228:07,33.0
291,8476292.0,Ondrej Palat,L,967:55,32.0
292,8476399.0,Blake Coleman,C,898:19,25.0
293,8476453.0,Nikita Kucherov,R,1040:25,60.0
294,8476624.0,Barclay Goodrow,C,897:52,23.0
295,8476826.0,Yanni Gourde,C,832:31,21.0
296,8476975.0,Cedric Paquette,C,678:17,16.0
297,8477409.0,Carter Verhaeghe,C,472:46,12.0
298,8478010.0,Brayden Point,C,1027:30,51.0
299,8478416.0,Erik Cernak,D,1063:32,12.0
300,8478472.0,Mathieu Joseph,R,394:34,6.0
301,8478477.0,Mitchell Stephens,C,366:54,6.0
302,8478519.0,Anthony Cirelli,C,999:01,37.0
303,8479410.0,Mikhail Sergachev,D,1213:10,20.0
304,8480172.0,Jan Rutta,D,457:34,7.0
305,8469454.0,Ilya Kovalchuk,L,666:24,21.0
306,8471214.0,Alex Ovechkin,L,1071:27,49.0
307,8471698.0,T.J. Oshie,R,1004:58,37.0
308,8473563.0,Nicklas Backstrom,C,917:50,36.0
309,8474176.0,Carl Hagelin,L,660:12,22.0
310,8474189.0,Lars Eller,C,886:27,31.0
311,8474590.0,John Carlson,D,1318:55,49.0
312,8475200.0,Dmitry Orlov,D,1371:12,21.0
313,8475209.0,Richard Panik,R,621:02,22.0
314,8475324.0,Nick Jensen,D,1047:36,7.0
315,8475343.0,Nic Dowd,C,466:21,12.0
316,8475455.0,Brenden Dillon,D,1193:51,13.0
317,8475462.0,Radko Gudas,D,878:21,15.0
318,8475744.0,Evgeny Kuznetsov,C,921:50,40.0
319,8476329.0,Travis Boyd,C,254:11,9.0
320,8476880.0,Tom Wilson,R,978:43,35.0
321,8477343.0,Tyler Lewington,D,58:37,0.0
322,8477903.0,Garnet Hathaway,R,622:48,15.0
323,8477944.0,Jakub Vrana,L,891:29,40.0
324,8478399.0,Jonas Siegenthaler,D,802:16,9.0
325,8478466.0,Daniel Sprong,R,99:25,1.0
326,8479359.0,Beck Malenstyn,L,23:03,0.0
327,8479482.0,Michal Kempny,D,985:33,18.0
328,8480796.0,Martin Fehervary,D,90:49,1.0
329,8470607.0,Brent Seabrook,D,508:56,3.0
330,8476381.0,Andrew Shaw,R,313:35,8.0
331,8470281.0,Duncan Keith,D,1181:29,16.0
332,8473604.0,Jonathan Toews,C,1017:58,51.0
333,8474141.0,Patrick Kane,R,1232:01,61.0
334,8475177.0,Calvin de Haan,D,496:24,6.0
335,8476372.0,Nick Seeler,D,134:59,1.0
336,8476438.0,Brandon Saad,L,798:11,30.0
337,8476473.0,Connor Murphy,D,1068:49,18.0
338,8476874.0,Olli Maatta,D,1058:36,15.0
339,8476886.0,Slater Koekkoek,D,646:51,10.0
340,8477330.0,Dominik Kubalik,L,843:14,38.0
341,8477846.0,Ryan Carpenter,C,788:34,12.0
342,8477961.0,John Quenneville,C,92:31,0.0
343,8478106.0,Dylan Sikura,R,89:05,3.0
344,8478146.0,Matthew Highmore,C,338:16,6.0
345,8478440.0,Dylan Strome,C,772:01,30.0
346,8479337.0,Alex DeBrincat,L,980:21,29.0
347,8479423.0,Alex Nylander,L,713:03,24.0
348,8479465.0,Drake Caggiula,C,442:04,13.0
349,8479523.0,Lucas Carlsson,D,81:31,1.0
350,8479542.0,Brandon Hagel,L,11:48,0.0
351,8480144.0,David Kampf,C,802:09,15.0
352,8480814.0,Nicolas Beaudin,D,17:01,0.0
353,8480871.0,Adam Boqvist,D,575:27,11.0
354,8481523.0,Kirby Dach,C,810:19,20.0
355,8477215.0,Danny DeKeyser,D,148:17,4.0
356,8479395.0,Dennis Cholowski,D,589:35,3.0
357,8480184.0,Gustav Lindstrom,D,231:26,0.0
358,8470047.0,Valtteri Filppula,C,911:53,15.0
359,8470110.0,Trevor Daley,D,613:11,5.0
360,8470144.0,Frans Nielsen,C,653:51,5.0
361,8470318.0,Jonathan Ericsson,D,228:34,0.0
362,8471716.0,Justin Abdelkader,L,484:20,3.0
363,8471794.0,Darren Helm,L,819:16,14.0
364,8473415.0,Alex Biega,D,719:48,3.0
365,8474040.0,Sam Gagner,C,517:29,10.0
366,8474597.0,Cody Goloubef,D,354:44,2.0
367,8475747.0,Patrik Nemeth,D,1184:26,8.0
368,8476822.0,Luke Glendening,C,741:33,8.0
369,8477454.0,Adam Erne,L,610:26,5.0
370,8477474.0,Madison Bowey,D,840:53,16.0
371,8477479.0,Tyler Bertuzzi,L,1135:51,34.0
372,8477511.0,Anthony Mantha,R,680:24,29.0
